customer_id,tenure_months,monthly_charge,total_charges,contract_type,payment_method,paperless_billing,tech_support,online_security,streaming_tv,avg_monthly_gb,num_complaints,satisfaction_score,churn
49,36,91.44141014704978,4130.337229791907,Month-to-month,Credit card,Yes,No,Yes,No,79.42284005854123,0,3,1
50,50,56.16470948410445,1171.827583210056,Two year,Bank transfer,Yes,No,Yes,No,55.620362769110045,0,3,1
51,4,32.53753492338733,1290.545446427396,Month-to-month,Mailed check,No,No,No,Yes,27.934216415562663,1,3,1
52,2,45.361277085970826,3247.313883375989,Month-to-month,Electronic check,No,Yes,Yes,Yes,26.38290366844028,0,3,1
53,6,84.2086507352399,1452.8218335973852,Two year,Mailed check,Yes,No,No,Yes,23.78385409374544,0,2,0
54,54,47.55365671408512,1165.4934066377314,Two year,Credit card,Yes,Yes,Yes,Yes,97.96316284438096,0,3,1
55,4,69.4521125120408,1345.4708000977218,Month-to-month,Electronic check,Yes,No,Yes,Yes,39.92195412283298,0,3,1
56,54,32.16953067266723,2504.1727467695614,One year,Credit card,No,Yes,Yes,No,31.686976364283726,0,2,0
57,63,78.8093637605447,4833.8893763842625,Month-to-month,Credit card,No,No,No,No,41.84680757452407,0,1,1
58,18,51.607768384326405,4177.965913650019,Month-to-month,Electronic check,Yes,No,Yes,Yes,11.579792651648424,0,1,1
59,44,82.69684345287166,1494.590296344868,Month-to-month,Mailed check,No,Yes,Yes,No,19.601952828349813,0,1,1
60,34,100.8394882304023,1880.528721640679,Month-to-month,Credit card,No,No,No,No,50.89021417905633,0,3,1
61,62,81.16464193899924,2376.1100274699793,Month-to-month,Electronic check,No,Yes,No,No,79.8847163962378,0,2,0
62,14,49.57475625950207,4896.7552703832525,One year,Mailed check,No,No,No,Yes,87.64266901148562,1,1,1
63,48,45.574370154830035,944.7132948450069,Month-to-month,Bank transfer,No,No,Yes,Yes,86.59847675836106,0,4,0
64,15,52.7420958733448,1851.667207110226,One year,Mailed check,No,Yes,No,Yes,94.47508684238616,1,4,1
65,62,36.462051323650485,3674.1878605153033,One year,Mailed check,Yes,No,Yes,Yes,12.577152377818612,1,2,0
66,40,38.117185085002006,4823.324297917822,Month-to-month,Electronic check,No,No,Yes,No,4.0970284341513725,0,3,1
67,53,99.06911019001679,862.8085425447646,Month-to-month,Mailed check,Yes,Yes,No,No,10.573121804946528,1,1,1
68,24,58.4732576507445,1214.161775552294,One year,Bank transfer,No,No,Yes,No,60.07422533324511,0,3,0
69,26,63.59951805705858,1205.903904513108,One year,Bank transfer,Yes,No,No,No,55.61189857765745,0,1,0
70,60,79.40494655668113,202.56694451116022,One year,Credit card,No,Yes,No,No,67.12100630703127,0,5,0
71,41,78.96534951515477,3060.1665624066527,One year,Bank transfer,Yes,No,Yes,No,37.10906404157286,0,5,0
72,29,26.73768715219257,3386.4450633148795,Month-to-month,Credit card,Yes,No,No,Yes,39.158880595130654,0,3,1
73,15,103.15407863376656,3052.3768616137413,One year,Bank transfer,No,Yes,No,No,54.557508985825095,1,4,0
74,45,37.73265532239394,449.4826481227903,Month-to-month,Mailed check,Yes,Yes,No,No,7.905611343050767,0,3,1
75,65,92.30716360496689,439.2276161535953,Two year,Credit card,Yes,No,No,No,79.98721661361022,0,1,1
76,71,97.26709881281666,1130.8941170212076,One year,Bank transfer,No,No,Yes,No,92.2855548097694,0,3,0
77,9,91.48995340913137,1522.4431269246816,Month-to-month,Mailed check,Yes,No,No,No,38.73452007292798,1,3,1
78,1,77.89776465541452,3954.063913959232,Month-to-month,Mailed check,No,No,Yes,Yes,73.95724272623018,0,1,1
79,8,21.460899710888285,881.0123021697135,Two year,Credit card,Yes,No,No,No,54.883472027687766,0,4,1
80,63,56.03754923631707,316.05186034790745,Month-to-month,Electronic check,Yes,Yes,Yes,No,23.600859432838163,0,5,0
81,11,80.48394293625812,2030.5387877939702,Month-to-month,Mailed check,No,No,No,Yes,6.779778983608642,0,1,1
82,8,58.74512959225387,2140.321633695409,One year,Mailed check,Yes,No,No,Yes,24.589891068016545,0,3,1
83,35,106.34798949128131,2309.445957125876,One year,Electronic check,Yes,No,No,No,60.490615464433475,0,2,0
84,35,50.880227534961534,4151.827365732146,Month-to-month,Credit card,No,Yes,No,No,4.022977602609156,0,3,0
85,33,49.35347924586604,580.2265328676144,One year,Bank transfer,No,No,No,Yes,83.6190730724552,0,3,0
86,5,46.599769309265795,3549.316203867614,Two year,Bank transfer,No,Yes,Yes,No,97.03061936456476,0,2,1
87,41,53.27808689607955,1755.9332981219247,Two year,Mailed check,Yes,Yes,Yes,Yes,8.350191194313139,0,3,0
88,28,75.74049643141872,1618.9026685338029,One year,Electronic check,Yes,No,Yes,Yes,24.669793072434764,0,2,1
89,7,90.70152942725908,4669.461317821301,Two year,Mailed check,No,Yes,No,Yes,67.56336154442445,0,3,0
90,12,86.2567917738785,1317.495769642036,One year,Credit card,Yes,Yes,Yes,No,80.60803234250969,1,4,0
91,34,100.77178199814796,3248.405993162895,Month-to-month,Mailed check,Yes,No,Yes,Yes,34.59940916876967,0,5,1
92,33,108.59139954974249,1448.1260111428512,One year,Bank transfer,Yes,No,Yes,Yes,51.523843032645786,0,4,0
93,48,101.60790423433512,2585.005024937887,Month-to-month,Electronic check,Yes,No,Yes,No,89.17594029629426,0,1,1
94,23,21.89454033743546,3952.8351737217617,Month-to-month,Credit card,Yes,No,Yes,Yes,38.439834194939614,0,1,1
95,62,93.59179535519887,4420.440365229677,Month-to-month,Mailed check,No,No,Yes,Yes,8.15382734625093,0,3,0
96,37,40.83995736183316,4209.616477445747,Two year,Bank transfer,No,Yes,Yes,No,99.48941218956516,0,1,0
97,44,33.292804270798264,2952.685607108735,One year,Mailed check,Yes,No,No,No,18.02802054632162,1,1,1
98,35,83.84887847991355,1319.1999451572883,One year,Bank transfer,Yes,No,Yes,No,4.878181759871936,0,3,1
99,65,51.97431954076949,3340.0435779831423,Month-to-month,Electronic check,Yes,No,No,No,41.06535974166656,0,3,0
100,47,25.711716337044326,3578.534724320079,Month-to-month,Credit card,No,No,No,No,12.146352129343196,0,5,1
101,3,33.76297343983613,152.39075155615694,Month-to-month,Mailed check,No,Yes,Yes,No,97.87333844257962,0,2,1
102,1,20.092941686996106,2252.1315035661855,One year,Credit card,No,Yes,Yes,No,38.07938560622627,0,3,1
103,5,110.32236273447073,4231.984009826645,Month-to-month,Electronic check,No,Yes,No,No,82.5811132909108,0,5,1
104,14,22.46179838412386,2498.979221590932,Month-to-month,Bank transfer,No,No,Yes,No,17.660538950445094,0,4,0
105,27,40.94557695095111,1625.7396666002735,Month-to-month,Electronic check,Yes,Yes,No,No,13.881475675018496,1,1,1
106,9,61.62627806879073,4371.809078020848,One year,Electronic check,Yes,No,Yes,No,64.92931300478861,1,2,1
107,15,55.65713259508191,863.815417896048,Two year,Credit card,Yes,Yes,No,No,90.93101358098352,0,4,0
108,42,111.17258769127757,1111.5816388393819,One year,Electronic check,Yes,No,No,No,11.45364549599851,0,3,0
109,51,24.02889457345421,3468.124597987053,Month-to-month,Mailed check,No,No,No,No,58.9253965664922,0,4,1
110,63,71.22147076770516,1826.9361134802175,Month-to-month,Bank transfer,Yes,No,No,Yes,8.493949141798495,0,5,1
111,52,88.0479462524374,3593.782495095517,Month-to-month,Electronic check,Yes,No,No,No,81.21629440118863,1,3,1
112,4,113.16979736811687,872.7477441715102,Month-to-month,Mailed check,Yes,No,No,No,90.93059135717026,0,3,1
113,23,82.0371252123721,1336.118539044145,Month-to-month,Bank transfer,Yes,Yes,No,Yes,62.87943032244334,0,2,1
114,15,100.37552360117627,867.5721539818043,Month-to-month,Credit card,No,Yes,Yes,Yes,68.83431025412797,1,5,1
115,43,28.37249378453484,4769.260536461197,Month-to-month,Bank transfer,No,No,Yes,Yes,5.543646461202256,1,1,1
116,29,58.59395109369274,2086.479408169528,Month-to-month,Credit card,Yes,Yes,Yes,No,7.29771868860829,0,4,0
117,36,57.394713447906746,1752.3775585601074,Month-to-month,Bank transfer,Yes,Yes,No,Yes,17.96705559927201,0,2,1
118,13,108.62882164557176,169.59056523674704,One year,Electronic check,Yes,Yes,Yes,No,27.382846733187726,1,2,0
119,32,35.137117126327496,851.7461391133482,Two year,Credit card,Yes,Yes,Yes,No,75.98561168398538,0,3,0
120,71,35.188617233663024,2163.5656955882473,Two year,Credit card,No,No,No,Yes,43.542924701289905,0,4,0
121,59,52.855814988579844,435.6636836022809,Month-to-month,Credit card,No,No,Yes,Yes,7.824968674669652,0,2,1
122,28,25.44660473668376,2602.622714580463,Month-to-month,Electronic check,Yes,No,No,Yes,85.26450622846845,0,3,1
123,66,38.245804065249004,2329.5756484757944,Two year,Electronic check,Yes,No,No,No,99.38267025769612,0,3,1
124,42,116.52096385457352,3859.123887687325,Month-to-month,Bank transfer,No,Yes,No,Yes,45.502629270506,2,5,1
125,45,62.81839398671728,3333.0332368615514,Two year,Bank transfer,No,No,No,Yes,51.176400557557145,0,3,0
126,62,83.20192084224365,2285.141796070812,One year,Electronic check,Yes,No,No,Yes,7.850943920096509,0,1,1
127,57,92.6111259344637,1200.83743051485,Two year,Electronic check,Yes,No,No,Yes,38.301743088729765,0,5,0
128,6,56.69614070072005,3661.631473487251,Two year,Credit card,Yes,Yes,Yes,Yes,37.18043598901165,0,5,0
129,28,34.722707441051696,3568.5243069256007,One year,Bank transfer,No,Yes,Yes,Yes,96.57915129815576,1,1,0
130,28,40.65810162217808,851.1511865253983,One year,Bank transfer,No,No,Yes,Yes,66.04315091602633,0,1,1
131,44,51.326647658061034,4582.283973984473,Month-to-month,Credit card,No,No,No,Yes,78.21831602469214,0,2,1
132,30,83.60684203522257,415.58506847371154,Month-to-month,Credit card,No,No,No,No,12.833205059808927,0,2,1
133,62,59.82805490890544,369.68477357430936,Month-to-month,Credit card,No,Yes,Yes,Yes,41.692688174267865,1,1,1
134,62,20.681469790012812,1018.0170465458923,Month-to-month,Mailed check,Yes,No,No,No,19.155280230723072,1,2,1
135,1,72.34071850674718,4556.357910438979,Month-to-month,Mailed check,Yes,Yes,Yes,Yes,86.0188978284138,2,1,1
136,27,112.1513391907418,2647.990807780917,Month-to-month,Electronic check,Yes,Yes,Yes,No,15.237237525780056,0,1,0
137,62,101.2077611008679,3960.9105112972106,Two year,Bank transfer,Yes,Yes,Yes,No,43.88712190028592,1,3,0
138,3,102.52113712596311,1216.431621574853,Month-to-month,Credit card,No,Yes,No,No,5.365028175375408,0,2,0
139,70,99.50580176061311,2502.08767580333,Month-to-month,Credit card,Yes,No,No,Yes,63.429429420043846,0,5,0
140,27,52.37308256104237,1855.618371757023,Month-to-month,Bank transfer,No,Yes,Yes,No,48.19247499477609,0,5,0
141,9,96.5193833754392,4156.360174624344,Month-to-month,Mailed check,No,Yes,No,No,49.79667724401114,0,2,1
142,62,34.3161357811193,210.76175286021046,Month-to-month,Bank transfer,Yes,Yes,Yes,Yes,10.16189105917763,0,2,0
143,37,85.77161472759535,1294.8293768339163,Two year,Electronic check,Yes,Yes,No,Yes,51.398118521706884,0,2,1
144,51,84.15685666849944,847.613699081656,One year,Mailed check,Yes,Yes,Yes,No,56.37834907825556,0,2,0
145,44,22.556979908973467,4310.02628973569,Month-to-month,Bank transfer,Yes,Yes,No,Yes,96.28400866773323,1,3,1
146,24,98.79701335909316,2390.964863499452,Month-to-month,Bank transfer,Yes,Yes,No,Yes,3.3222683285506482,0,1,1
147,59,110.32481050951306,2080.6782150767594,Month-to-month,Electronic check,Yes,No,No,Yes,92.27136094915632,0,2,1
148,32,46.74152784721076,2302.465534295291,Two year,Bank transfer,No,Yes,No,No,47.956445793158466,1,2,1
149,52,101.2390724186151,4862.430298441443,Month-to-month,Mailed check,No,Yes,Yes,No,21.01145254909742,0,1,1
150,62,28.24059718619482,4266.310232246028,Month-to-month,Credit card,No,No,No,Yes,66.55460829512252,0,1,1
151,58,79.9967858261066,3561.206982066507,Month-to-month,Credit card,Yes,No,Yes,No,51.70522172529597,2,1,1
152,52,68.56468653342772,1523.3469001939477,Two year,Credit card,No,No,Yes,Yes,22.67550164297282,0,4,0
153,12,74.59235333090001,909.3476976403941,Month-to-month,Mailed check,Yes,No,No,Yes,62.68268458355672,0,5,1
154,39,112.62052018843451,4615.024782219822,Two year,Bank transfer,Yes,No,Yes,Yes,47.32622751848782,0,2,1
155,2,107.13152472468535,2173.070061702766,Month-to-month,Bank transfer,No,Yes,Yes,Yes,68.90146183619537,0,3,1
156,3,98.5083657239757,1465.903417396283,One year,Bank transfer,No,No,No,Yes,68.90769281293926,0,3,1
157,56,47.3698457678371,2407.5120494464136,One year,Bank transfer,Yes,No,No,No,47.281531901090425,0,1,1
158,59,111.18186286860916,4597.452371819725,Month-to-month,Credit card,Yes,No,No,Yes,39.07962109216416,0,3,1
159,2,29.750769246387527,1996.6298356173365,Month-to-month,Mailed check,No,Yes,No,No,6.324424142701757,1,5,0
160,2,105.33292165587878,2856.9408865156875,Month-to-month,Electronic check,No,No,No,Yes,49.384659796084286,0,2,1
161,54,52.81600723536078,4034.5348754319775,Month-to-month,Mailed check,No,No,No,Yes,24.311502908842808,1,3,1
162,1,25.377231166198335,2192.949402137117,Two year,Bank transfer,No,No,No,No,5.324746462565145,0,5,0
163,19,86.93569842407483,1244.3548294392047,Month-to-month,Bank transfer,No,No,Yes,No,33.03802304374352,0,5,0
164,2,43.12799283159555,4973.176167076864,One year,Mailed check,No,No,No,No,8.74690187278051,1,4,1
165,53,44.35711258646319,4787.1972015155825,Month-to-month,Mailed check,Yes,No,Yes,No,57.97418229285689,1,4,1
166,44,50.60471662287715,4233.047928715018,Month-to-month,Credit card,No,Yes,No,Yes,50.36690647130766,1,3,1
167,32,26.368476750251673,3473.0320089910206,One year,Bank transfer,Yes,Yes,No,Yes,79.24289973960876,0,5,0
168,70,37.7127144198254,1544.841577541515,One year,Mailed check,Yes,Yes,Yes,No,26.76335436392496,3,1,1
169,32,20.51396275855603,4575.723397003757,Month-to-month,Bank transfer,No,Yes,No,No,37.15290654700028,0,4,0
170,68,64.54095211057867,1450.2276835940208,Month-to-month,Mailed check,No,Yes,No,No,68.89503886384063,1,5,1
171,55,28.42553774179713,4023.966523916479,Month-to-month,Bank transfer,No,No,No,No,99.29445202315115,0,4,1
172,56,88.2652605044199,4599.465022912401,Two year,Mailed check,Yes,No,Yes,No,90.41697574464546,0,2,0
173,17,43.56228511916484,3054.7188181065662,Month-to-month,Bank transfer,Yes,Yes,No,No,52.08248984434779,0,5,1
174,38,114.35741440351771,4034.9754676667762,Month-to-month,Electronic check,No,No,Yes,No,67.79472958666139,0,5,0
175,24,107.12516273986526,3979.3059860885587,One year,Credit card,No,Yes,No,No,53.19223265759791,0,2,1
176,69,48.94408949682082,1046.4729804928015,Month-to-month,Electronic check,Yes,No,Yes,Yes,43.48055319044622,0,4,1
177,70,98.32154546566787,3372.829920620815,Month-to-month,Credit card,Yes,Yes,Yes,Yes,60.229768953829634,0,2,1
178,11,100.32449046648063,557.9928908317734,Month-to-month,Credit card,No,No,Yes,No,38.64992253255707,0,3,1
179,16,118.65631141144104,2588.4657013736587,Two year,Mailed check,No,No,Yes,Yes,28.01883557410607,0,1,1
180,59,79.7839986845685,894.9541858888298,Two year,Electronic check,No,Yes,No,No,70.56739028016847,0,4,0
181,70,28.196573464366217,2140.112544102515,One year,Credit card,Yes,No,Yes,Yes,87.19734128806962,1,5,0
182,3,84.6837228926381,4181.612166022344,Month-to-month,Bank transfer,Yes,No,No,No,28.802430605064856,0,3,1
183,20,82.49797483760352,4937.122414188001,One year,Mailed check,No,Yes,No,Yes,70.68916177388871,0,4,0
184,59,83.83505774204318,1658.003175132127,Month-to-month,Mailed check,No,No,No,No,43.401900369125066,0,1,1
185,36,50.71456481042115,2706.5829240375656,Month-to-month,Bank transfer,No,No,Yes,Yes,30.208503718458058,0,5,0
186,19,105.96795850803329,2605.360319415394,Two year,Bank transfer,Yes,Yes,No,Yes,62.11109785431873,0,2,0
187,67,115.94721829554119,4776.567398172223,Month-to-month,Credit card,Yes,Yes,Yes,No,93.94144622441536,1,1,1
188,19,41.771251297815155,2445.06028892059,Month-to-month,Bank transfer,Yes,No,Yes,Yes,35.169148132675396,0,4,1
189,20,28.815215813664445,3525.6204064585195,Two year,Mailed check,No,No,No,Yes,75.94793021797209,0,5,0
190,71,39.45350331684841,4616.767242231778,One year,Bank transfer,No,Yes,Yes,Yes,31.469808247726373,0,4,0
191,52,102.05521392557188,1929.5549417305162,Month-to-month,Electronic check,No,No,No,Yes,80.38683811816081,1,1,1
192,33,87.66446348198475,4520.3989674024,Month-to-month,Mailed check,Yes,Yes,Yes,No,75.99847243942358,0,5,0
193,40,83.60473423391267,4595.535487265966,Month-to-month,Bank transfer,Yes,No,Yes,No,76.56327716250925,0,1,1
194,39,60.17931351094245,4660.2462694389405,Month-to-month,Mailed check,Yes,No,Yes,No,99.77080680019068,1,4,1
195,1,77.78279715114357,1425.1863088099894,Month-to-month,Credit card,No,No,No,Yes,14.051757180641445,0,5,0
196,11,50.78741252743674,2061.7424119227962,Month-to-month,Electronic check,No,No,Yes,No,38.883923312269474,0,5,1
197,57,67.72000794179613,4364.939950305939,Two year,Credit card,Yes,No,Yes,Yes,63.08121666584155,0,5,0
198,50,99.30630283706559,1859.892938974052,Month-to-month,Electronic check,No,Yes,No,Yes,59.04754724435436,0,4,1
199,23,118.12415974554621,3041.239861374175,Month-to-month,Bank transfer,No,No,No,Yes,78.06330846062137,0,3,1
200,31,113.24889235898019,678.4670855742546,Month-to-month,Mailed check,Yes,Yes,No,No,4.690958174587667,1,4,1
201,42,113.38659428462488,375.74744174507975,Month-to-month,Bank transfer,Yes,No,Yes,No,70.50511687742814,1,2,1
202,7,60.22237348471124,2118.7705485116458,Month-to-month,Credit card,Yes,No,Yes,Yes,73.77239566223398,0,3,1
203,16,66.87898805067908,2936.6910097043155,Two year,Mailed check,Yes,Yes,No,Yes,6.110111595134815,0,4,1
204,60,90.56353963689816,2024.2256554588128,Two year,Bank transfer,Yes,No,No,No,53.86823572318637,0,2,1
205,2,112.21919280512843,2930.9052737881257,Month-to-month,Bank transfer,No,No,No,Yes,24.49927044890795,2,1,1
206,1,34.19942593520847,2623.913443241747,Two year,Mailed check,Yes,No,No,Yes,80.16272613713299,0,2,0
207,48,50.424186382719576,3459.9654235017715,Month-to-month,Mailed check,No,Yes,Yes,No,4.961360619375443,2,5,1
208,12,33.924684459410955,3282.70891222041,One year,Credit card,No,Yes,Yes,No,14.616414729596528,0,3,1
209,69,81.20085299594552,2178.8039457122422,Month-to-month,Electronic check,Yes,No,No,Yes,10.445377128987266,0,4,1
210,37,50.63009968875375,2182.47667805733,Two year,Electronic check,Yes,No,Yes,No,6.521770545158434,1,4,1
211,32,52.61078525125735,789.8138660599368,Month-to-month,Mailed check,No,No,No,Yes,60.0073663017371,0,5,1
212,9,27.091595948797924,2614.86900327265,One year,Electronic check,No,No,Yes,Yes,86.85469225615354,0,3,1
213,19,54.97960618075919,2977.177727864914,One year,Credit card,No,No,No,No,51.09731246645378,1,3,0
214,48,106.24965074015853,2434.7980470337484,Month-to-month,Electronic check,Yes,No,Yes,Yes,21.058152191418333,0,5,0
215,3,43.3072811890835,1695.965941926295,Month-to-month,Mailed check,No,No,Yes,No,34.379626849197166,0,3,1
216,20,89.51874662100657,3636.0778668335056,Month-to-month,Credit card,Yes,Yes,No,No,36.03662220700541,0,5,0
217,24,82.96283449385926,465.8420587615979,One year,Mailed check,Yes,Yes,No,No,45.163539766429594,0,2,0
218,54,106.34846083691153,4580.7578117948315,Month-to-month,Credit card,No,No,Yes,Yes,42.053836594992255,0,5,1
219,33,33.22879476510383,201.1528537743871,One year,Credit card,Yes,Yes,Yes,No,67.11512523908763,1,4,0
220,24,117.75899603450432,4815.515653847562,Two year,Mailed check,No,No,No,Yes,33.991217103651,1,1,1
221,36,78.26286460403657,2365.542444579846,Month-to-month,Bank transfer,No,No,No,Yes,66.2965392811886,1,2,1
222,38,119.54741523468144,2122.0827256173516,Month-to-month,Mailed check,Yes,Yes,Yes,No,54.67734509950647,0,4,0
223,25,111.15147258658509,1356.5756855696218,One year,Credit card,Yes,No,No,Yes,4.850884705099356,0,2,0
224,18,42.15172721131058,149.34856067818754,One year,Mailed check,No,No,Yes,No,91.96720842164606,0,4,1
225,66,25.61620099033131,1446.4722956668188,Two year,Mailed check,Yes,No,No,No,17.795739357475405,0,3,0
226,54,45.563909379536156,636.0596347556364,Month-to-month,Credit card,Yes,Yes,No,No,45.152885593918604,0,5,0
227,35,72.75636489994199,3333.122129197634,Month-to-month,Electronic check,No,No,Yes,Yes,94.7597201228367,0,4,1
228,61,37.159636706518995,1663.4673643715585,Two year,Credit card,Yes,No,No,No,24.7333201435208,0,4,0
229,41,36.74597445179885,3859.1787091779415,Two year,Mailed check,No,No,Yes,No,2.2164548539860607,1,3,0
230,33,66.25935471051531,1113.889317995973,One year,Credit card,No,No,Yes,No,49.0049824927412,0,1,0
231,68,23.326797116935843,4511.150801417337,Month-to-month,Credit card,Yes,Yes,No,Yes,22.393119604021315,0,1,0
232,33,32.188808253227045,2662.60942401858,Month-to-month,Electronic check,No,No,Yes,Yes,58.202752320463034,2,5,1
233,14,61.58613394079475,661.0803626980089,Month-to-month,Bank transfer,Yes,No,No,No,81.7108112676771,0,3,1
234,21,26.312990920796647,2064.141654702047,Two year,Mailed check,No,Yes,Yes,No,51.12199156446098,2,2,1
235,48,59.67550564555293,1113.126567941832,Month-to-month,Mailed check,Yes,No,No,No,64.50293448834077,0,4,0
236,20,67.40062659484451,1078.458588224078,One year,Electronic check,No,No,Yes,Yes,66.61523958274078,0,5,0
237,8,65.12666140731145,2581.211714495824,One year,Credit card,No,No,Yes,Yes,82.05344966050687,0,1,1
238,7,106.91748574030873,3392.2708766182254,Month-to-month,Bank transfer,Yes,No,No,Yes,68.7926808978413,1,2,1
239,67,73.00624550517324,4566.929206966798,Month-to-month,Mailed check,Yes,No,Yes,No,97.61721517915817,0,3,1
240,17,66.79804624780434,2560.5938527419016,One year,Bank transfer,Yes,No,No,Yes,45.62112530893672,0,4,1
